ID,DEPARTAMENTO,LOCALIDAD,COD. DPTO,CODIGO RED,IP_DESDE,IP_HASTA,SNA,DHCP,OBSERVACIONES
514,MONTEVIDEO - PERIFERIA,Montevideo Shopping,Y,5A,10.38.90.15,10.38.90.249,,,Rango reservado
515,MONTEVIDEO - PERIFERIA,Montevideo Shopping,Y,5B,10.38.91.15,10.38.91.249,,SI,Rango DHCP
512,MONTEVIDEO - PERIFERIA,Montevideo Shopping (Teléfonos IP),Y,5C,10.38.92.15,10.38.92.15,,SI,Telefonos IP - Tienda y Local Montevideo Shopping
528,MONTEVIDEO - PERIFERIA,LATU - Edificio CDC,Y,70,10.38.112.15,10.38.112.249,,,Av. Italia 6201 - Centro de Desarrollo de Contenidos y Laboratorio de TV Digital
540,MONTEVIDEO - PERIFERIA,Torre de los Profesionales,Y,74,10.38.116.15,10.38.116.249,,,Colonia esq. Yaguarón - oficina 807 
588,MONTEVIDEO - PERIFERIA,Tres Cruces Tienda,Y,61,10.38.97.15,10.38.97.249,,SI,Shopping Tres Cruces Nivel 2 Local 210
606,MONTEVIDEO - PERIFERIA,Plaza Italia,Y,7C,10.38.124.15,10.38.124.249,,,Tienda Plaza Italia Shopping - Avda Italia 4250
109,MONTEVIDEO - SEDE,Centro Comercial Cordón - Subsuelo,S,09,10.32.9.15,10.32.9.249,,,IP fija sin emulación
110,MONTEVIDEO - SEDE,Centro Comercial Cordón - Subsuelo,S,0A,10.32.10.15,10.32.10.249,,,Rango reservado
111,MONTEVIDEO - SEDE,Centro Comercial Cordón - Subsuelo,S,0B,10.32.11.15,10.32.11.249,,,Rango DHCP
112,MONTEVIDEO - SEDE,Centro Comercial Cordón - Planta Baja,S,0C,10.32.12.15,10.32.12.249,S00S1?,,IP fija con emulación
113,MONTEVIDEO - SEDE,Centro Comercial Cordón - Planta Baja,S,0D,10.32.13.15,10.32.13.249,,,IP fija sin emulación
114,MONTEVIDEO - SEDE,Centro Comercial Cordón - Planta Baja,S,0E,10.32.14.15,10.32.14.249,,,Rango reservado
115,MONTEVIDEO - SEDE,Centro Comercial Cordón - Planta Baja,S,0F,10.32.15.15,10.32.15.249,,,Rango DHCP
